alpha,min_area,open_size,close_size,AP50
3.0,2200,1,7,0.14897400202818398
3.0,2200,1,9,0.1360707012984253
3.0,2200,3,5,0.24894385667196622
3.0,2200,3,7,0.2636994402212936
3.0,2200,3,9,0.26656405488893375
3.0,2200,5,5,0.14696066985883433
3.0,2200,5,7,0.17755657242656087
3.0,2200,5,9,0.19836281528532745
3.0,2500,1,5,0.1607221834265903
3.0,2500,1,7,0.1415701146185693
3.0,2500,1,9,0.13311560226385982
3.0,2500,3,5,0.24713036006885822
3.0,2500,3,7,0.26352488740803975
3.0,2500,3,9,0.26167392964087
3.0,2500,5,5,0.15227447433917227
3.0,2500,5,7,0.18201357708671143
3.0,2500,5,9,0.20321313663739377
3.5,1500,1,5,0.18600080545532413
3.5,1500,1,7,0.17913145545723105
3.5,1500,1,9,0.16833073159108508
3.5,1500,3,5,0.23791110514659763
3.5,1500,3,7,0.2650763502002019
3.5,1500,3,9,0.27528877973098104
3.5,1500,5,5,0.12395426088003696
3.5,1500,5,7,0.15562993226161626
3.5,1500,5,9,0.1798729024330169
3.5,1800,1,5,0.18500276922176964
3.5,1800,1,7,0.17874651376994413
3.5,1800,1,9,0.1692322802786513
3.5,1800,3,5,0.2381625767855487
3.5,1800,3,7,0.26626080484855064
3.5,1800,3,9,0.27849101152602496
3.5,1800,5,5,0.12739909640630404
3.5,1800,5,7,0.15981164627617805
3.5,1800,5,9,0.18581985394412856
3.5,2000,1,5,0.18167996067985762
3.5,2000,1,7,0.17749990633182633
3.5,2000,1,9,0.16742343085849218
3.5,2000,3,5,0.24047504041291268
3.5,2000,3,7,0.2610725776722338
3.5,2000,3,9,0.2736690702898066
3.5,2000,5,5,0.13054249133202878
3.5,2000,5,7,0.16333359155734023
3.5,2000,5,9,0.18600223666473728
3.5,2200,1,5,0.18302580481560554
3.5,2200,1,7,0.1769714709920167
3.5,2200,1,9,0.16246863557257263
3.5,2200,3,5,0.2408007323050077
3.5,2200,3,7,0.2618996077120437
3.5,2200,3,9,0.27587911634771467
3.5,2200,5,5,0.13415160786003463
3.5,2200,5,7,0.16573353130696927
3.5,2200,5,9,0.19077861224389847
3.5,2500,1,5,0.17963988401722392
3.5,2500,1,7,0.1772690913181686
3.5,2500,1,9,0.16124315376828996
3.5,2500,3,5,0.2440625853858345
3.5,2500,3,7,0.2601528039353751
3.5,2500,3,9,0.26931954174522743
3.5,2500,5,5,0.14020133781203373
3.5,2500,5,7,0.16941894545575514
3.5,2500,5,9,0.1929613185789218
4.0,1500,1,5,0.18811389463221256
4.0,1500,1,7,0.18943678922281462
4.0,1500,1,9,0.1876773981279351
4.0,1500,3,5,0.2170190996493128
4.0,1500,3,7,0.2411596771145249
4.0,1500,3,9,0.26557260026243085
4.0,1500,5,5,0.10067602987873565
4.0,1500,5,7,0.1442832680024582
